,similar_clips,clip_id
0,[2500 2663 1612 2686 1608  723  453 1798  206 3163],214566929
1,[1221  121  916 1187 1578 1400 1132  728  869   43],191356910
2,[ 930 3791 2892 1375 3193 2009 3512  802 2602  779],250383662
3,[ 254 2716  347 2358  270  353 1872 2067  205   92],250482473
4,[1778 1383  525 1880 3617 2267 2949 1180 2251  298],249968820
5,[3663 3799 3214  376   53  954 3637  290  988  395],249450406
6,[1928  883 3668  446 3341  107 3517  374  452  733],247792599
7,[ 961  190  484 1933  806 1966 2043  779  154  816],249393804
8,[ 944 2073 1459  285 1117 3436  230 3739 2322 2731],248899043
9,[ 915  230  576 1496  312  411  263  725  261  277],248816836
10,[1787 3722 1862 1018 3311  199 1065 1841 2902 2013],247399820
11,[ 213 3056  685  946 2175  230 3241  285   50 3835],248996255
12,[2421 3764   72 1907  404  313  816  571 2690 3790],248261856
13,[2338 1375 1357 3099 3646 1984 2609 2621 1417 3356],248146468
14,[2280 1725 2077  453  214  242 1253 3165   79  322],248505397
15,[1427  328  944 2401 3455 2017  540 1389 2168 2430],247839331
16,[ 831 3334 2484 2605 1021 2283 2316   55 1547   18],235701437
17,[ 290  988  395   30  107  105 3539 1475  213 2426],248067419
18,[3334 3636 2605 2283 2136 3755 1311   55 1547   16],247820432
19,[ 844 3732 3437 1926  431   33 1523  626  325  493],246855180
20,[1184 1526  243 3652 1013 2251  863 2462 1207 1913],247166151
21,[3255 2015  741 1916  255  647 3716 1569  866  365],246983302
22,[548 462   0 866  87 227 156 723 206 529],240839522
23,[1132  270  869 2113 1031 1828 1914 2000  953 2073],107261264
24,[ 185  885 1342 1365  304 1569  502  695  274  195],245921641
25,[ 335 2135  463  603  140 1649 2702 2430 1684  174],244729509
26,[ 724  125 1364 1021 2605 2659  791 3334 3391 2704],245771395
27,[2519 1628 2813  728  911  789 2108   37  715 2060],245687147
28,[ 351 1954 3757 1058 2568  607 1477 2154  310  223],244830270
29,[3496 2690 1071 1079 1065  688 2517  852 1020 2691],242817477
30,[2533  124   60 1370 2489 2940 1141   17  105  827],244240061
31,[3334 3817 3297  903 2503 2724 1242 1009 2484 1765],243883632
32,[ 307   56  107  277  649 1004 2922  263  230  285],244052622
33,[1374 2262  174 3134  626  431  325  493   19 1514],243715179
34,[2135 3208 1786  466 2020 3646 3583  957 3355  204],242337463
35,[3712 2905 1243  883 2292  360 3298 3549  107  139],228236677
36,[1554 2436 2127  614 1740 1438 2789  415  693 1053],244171658
37,[ 269  715 1555  879   67 2040 1628 2813  911  789],243605444
38,[ 280 1519 3095  105 1159 2105 2009 2128 3483  506],241555617
39,[1000 2196  372 1792 2080 3142 1770 2461 1460 2572],242193448
40,[2453  124 2534   60 2049 1475 1857   17  105 2246],241734384
41,[ 258 3637  631 1526 2332  446 2335  954  397 3845],241055783
42,[ 649  488  400  776  388  263 1004  285  230  121],241793237
43,[ 789 1025  715 2370  307 2040    1  905  123 1004],241653375
44,[1500  242 1582 3818   79  513  322 1816 3035 3817],241891603
45,[2854  114  182  130  211  312   71  261 2439  317],241110391
46,[ 619 1257 3837 2853 1475  890 2929 1474 3863  303],240847223
47,[3395  779  139 2460 2852  382  551 1514 2319  324],240888280
48,[  49  506 1279 2522 1258  798 1866  440  342 1611],241250068
49,[2514  507  614 2342 3544 2913  140  462  174  463],239700290
50,[ 523  728  116 2584 2452  480  999 1289 1200 1313],240466644
51,[1496 2040  948 1025   37  915   67 2813  269  789],175884766
52,[3501  263   42 2522 1100  951  285  230 1091  760],240404007
53,[ 874 1671 2387 3408 2022    5  376  290  988  395],239604078
54,[2933  728 2569 2200 1326  999    3 1313 1872 1071],238956868
55,[3532 1975 2316 3334 1389 2605 1021 1547   16   18],239959828
56,[ 307   67  107  649  277 1004  434  263  230  285],240175862
57,[ 304  792  266 1174  307 3057  475  123  905 1885],240040166
58,[1025 1282  576  307  167 2514  382  905  123  475],239485479
59,[3791 2593 2759  469 2736 3084  991  608  779 3433],239700705
60,[  94  207   62  202  152 3712  160  357  124  105],237343122
61,[1283 3510 3541 2770 1476 2916 1789  269 2424  281],238227596
62,[3242  218 2676 2748  160  357 3712  124   60  105],239282032
63,[ 581  821 1388 2162 3855 2267 1798 3300  929  182],236322603
64,[1322  807 1389 2337 1934 2448 2489 1370 1141 1798],238396868
65,[3866  226 1080 1031 1048  944 1389 1111  540 2430],237715420
66,[ 122 3072 1938  596 2679 1110  648  835  435  674],232362579
67,[ 715  269 1555 2040  911 1628  879   37 2813  789],204999387
68,[3249 2037  669 2539 3543 2719 1183  358 2151  873],237818928
69,[ 393 1979 1316  852 2967 2476  755 2985 2629 1284],238328937
70,[1443  388 2270  140 3544 2342 3395  270  135 2595],238096496
71,[ 114 2105  182   45  130  211  312  208  261  317],237987878
72,[463 897 629 784 335 615 194 483 154 729],237232691
73,[  21 1065  190 2170  487 2287  779  942 2325 2015],237225109
74,[  87  227  156 3850  220  597 1190  723  206  235],237139393
75,[ 991 2250 1304  608  194 2794 1471  779 2264  907],232897265
76,[ 230 3519 2315  263  132 3736  285 3433 3588 1228],236203659
77,[2181 1319 2549  402 2044  376   96  830 1979 1535],234812692
78,[3492 3389   95 2503 3506 1009 1571  367 1765 2585],236812766
79,[ 286   14  382  107 2356 3378  160  585  429  322],236676206
80,[ 791 3085  291  865 2400 2341 3006 2787 2673 1978],236432547
81,[3712 1545  160 1445  357 1876 1709  124   60  105],236584808
82,[2464 1115  481  357  570 1834 2477  124   60  105],236342964
83,[1395 2689 1939 2067  934 1910 2435 1105 2940 2613],236370796
84,[ 335  393 2390  233 2630 1823  614  556 3345 2159],234234910
85,[ 682 1943 1004  263  723 3058  206 1088  230  285],233130406
